"Investing.Company","stateab","newstext"
"Mission Foods","FL","Mission is expected to receive a total of $130,000 in incentives from Lakeland and Polk County government for its expansion."
"Molnlycke Health Care","ME","Durdag expects Biovation to break even in two years; it’s currently funded by venture capital investments and with about $600,000 in grants from the Maine Technology Institute and the Maine Technology Asset Fund.The experienced management team is one reason MTI chose to fund Biovation, said Joseph Migliaccio, manager of business innovation programs at MTI.   “They’re a quality team and they have been down this road of development before,” he said."
"Nanshan America","IN","“Those have to come into play, in terms of making a decision, whether it came to incentives that could be offered in the long-term.”In Lafayette, for instance, Nanshan America was reportedly given incentives worth $1.3 million.In a Studio(i) interview, WFYI Public Media Chief Executive Officer Lloyd Wright says debate is expected in Washington on a House budget proposal that eliminates funding for public television and radio.Carson: House Vote Threatens Indiana Jobs   Indiana Congressman Andre Carson (D-07) says ""hundreds"" of Hoosiers could lose their jobs as a result of efforts to eliminate funding for a jet engine produced at Rolls-Royce's facility in Indianapolis.State and local officials offered Nanshan more than $1.3 million in incentives."
"NBG Holding","VA","(The Roanoke Times)   NBG Holding GmbH, an Austrian manufacturer of stainless steel tubes with integrated optical fiber, will invest $5 million to create Fiber Cable Technology, its first U.S. subsidiary.Submitted by Wendy Johnston   Botetourt having good year in job creation   Botetourt County welcomed FC Tech and subsidiary of the Austrian company NBG Holding, in a ceremony to announce the creation of high-tech, high-paying jobs.Lion men and women work together meeting needs of the community by raising funds through local events and participating in community projects.The company is investing $5 million to establish Fiber Cable Technology, its first U.S. subsidiary, in Botetourt County, a project that will create 25 new jobs.Hilb Rogal & Hobbs was sold in late 2008 for $2.1 billion by Willis Group Holdings Ltd.   Austrian manufacturer to put subsidiary in Va.An Austrian manufacturer is establishing its first U.S. subsidiary in Virginia.NBG Holding GmbH's new subsidiary, Fiber Cable Technology, will be located at the Botetourt Center at Greenfield in Dalevile, Gov. Bob McDonnell said.The subsidiary will employ 25 workers.981-3425 Section: Business 428 Words Page: A7 OpenURL Link   An Austrian company that makes specialty optical fiber products announced Thursday it will spend $5 million to open its first U.S. subsidiary in Botetourt County.FCTech Inc., a subsidiary of NBG Holding, plans to be up and running by next summer, CEO Karl Bauer said.The county is providing several incentives, including waivers of permitting fees, a $10,000 startup grant and a performance grant in the form of a rebate of $100,000 in new taxes generated by the company in its first five years.And the project's qualification for a $450,000 state economic development grant will effectively reduce the payback time to about six months.981-3425, 'Austrian firm to locate new plant in Botetourt',              Roanoke Times, The (online), 16 Sep 2011 A7              ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?              p=WORLDNEWS&docref=news/139CECAF9EA4FC68›  NBG Holding to establish US subsidiary in Va.September 15, 2011 | Associated Press State Wire: Virginia (VA) Section: Financial/Business 68 Words OpenURL Link   An Austrian manufacturer is establishing its first U.S. subsidiary in Virginia.Gov. Bob McDonnell announced Thursday that NBG Holding GmbH's new subsidiary, Fiber Cable Technology, will be located at the Botetourt Center at Greenfield in Dalevile.The subsidiary will employ 25 workers.Cit at ion (ag lc St yle )                'NBG Holding to establish US subsidiary in Va.', Associated Press State Wire: Virginia (online), 15                Sep 2011 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?                p=WORLDNEWS&docref=news/139CCC544F55DB88›  Twenty-five new jobs coming to Botetourt Co. September 15, 2011 | CBS - 7 WDBJ (Roanoke-Lynchburg, VA) Section: News 679 Words OpenURL Link   Twenty-five new jobs will be coming to Botetourt County.Here is the full news release:   Governor McDonnell Announces 25 New Jobs in Botetourt County   ~ NBG Holding to invest $5 million and establish its first U.S. subsidiary ~   RICHMOND – Governor Bob McDonnell today announced that NBG Holding GmbH, an Austrian-based manufacturer of stainless steel tubes with integrated optical fiber, will invest $5 million to establish Fiber Cable Technology (FCTech), its first U.S. subsidiary, in Botetourt County.NBG Holding, headquartered in Gmund, Austria, is the parent company to a number of subsidiaries in the fiber optic space.Through its Virginia Jobs Investment Program, the Virginia Department of Business Assistance will provide funding and services to support the company’s recruitment and training activities.CBS - 7 WDBJ (online), 15 Sep 2011               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13B1A1592C75F158›  New jobs coming to Botetourt County from Austrian manufacturer September 15, 2011 | NBC - 10 WSLS (Roanoke-Lynchburg, VA) Author: Governor's Office news release Section: Local 528 Words OpenURL Link   BOTETOURT COUNTY, VA   Governor Bob McDonnell today announced that NBG Holding GmbH, an Austrian-based manufacturer of stainless steel tubes with integrated optical fiber, will invest $5 million to establish Fiber Cable Technology (FCTech), its first U.S. subsidiary, in Botetourt County.NBG Holding, headquartered in Gmund, Austria, is the parent company to a number of subsidiaries in the fiber optic space.Through its Virginia Jobs Investment Program, the Virginia Department of Business Assistance will provide funding and services to support the company’s recruitment and training activities.Cit at ion (ag lc St yle )              Governor's Office news release, 'New jobs coming to Botetourt County from Austrian              manufacturer', NBC - 10 WSLS (online), 15 Sep 2011              ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?              p=WORLDNEWS&docref=news/139CCBB875C40DA8›  Austrian manufacturer to establish subsidiary in Botetourt September 15, 2011 | Virginia Business Section: Economic Development 162 Words OpenURL Link   An Austrian-based manufacturer of stainless steel tubes plans to open its first U.S. subsidiary in Botetourt County, creating 25 new jobs.Cit at ion (ag lc St yle )               'Austrian manufacturer to establish subsidiary in Botetourt', Virginia Business (online), 15 Sep               2011 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/139CE83F0BE8B8A8› "
"North American Lighting","IN","•HEA 1007 will allow enhanced abatement schedules and hiring incentives to encourage local job growth."
"Oregon Resources","OR","“It’s the vulnerable citizens we need to watch out for, we need to find a way to fund their services,” Telfer said.In September, Hanna had filed another complaint with the division when construction work started on the plant before permits were granted.Crumbling infrastructure   Although he spoke with pride about his work to fund reconstruction of the Coos Bay Rail Link, he said the country's weak investment in infrastructure lets China build an edge in industrial competitiveness.After the meeting, DeFazio said prohibitions on earmarks in the Republican-controlled House of Representatives had changed the way those projects were funded.He said he'll ask the Obama administration and the corps for funds to repair jetties and dredge Coos Bay.The city council voted Monday to add $1,000 to a community pot of campaign funds provided by the Brookings-Harbor Chamber of Commerce, Best Western Beachfront Inn and the Port of Brookings Harbor.Possible outside assistance includes Travel Oregon, the state’s official tourism department, Cohen said.The Curry Coastal Pilot will subsidize the cost of its services.When the funding ran out on the position a year later, she joined CORIL as its only independent living specialist.She will work for the Blanche Fischer Foundation, which provides grants to people with disabilities.For more information call 541-410-5068   The United Way of Deschutes County held its annual Donor Appreciation breakfast Wednesday, recognizing several businesses for their fundraising efforts.Bob Shaw — chief meteorologist and community affairs director at NewsChannel 21 — who is serving as the volunteer campaign chair for the 2010/11 annual fundraising campaign, received a gift of appreciation."
"Pastificio Rana","IL","Rana Foods seeking site plan amendment May 11, 2011 | Bartlett Examiner (IL) Author: Cindy Lenart Section: News 580 Words Page: 15 OpenURL Link   On the heels of an official announcement that Rana Meal Solutions has selected Bartlett as the new U. S. subsidiary of Italy's Pastificio Rana, a leading pasta producer in Europe, Rana is seeking a site plan amendment to modify the vacant speculative building it is taking over in the Brewster Creek Business Park.It currently employs more than 1, 000 people and has seven European subsidiaries, in France, Spain, the United Kingdom, Germany, Belgium and Switzerland.Financial incentives from the state and village were key factors in attracting Rana to Bartlett.The Illinois Department of Commerce and Economic Opportunity is administering the state's $1.18 million business investment package, which includes tax credits based on job creation and job training funds that will help enhance the skills of the company's workforce.The incentive will come from the Brewster Creek Tax Incentive Financing (TIF) account, and is an eligible cost under that program.Cit at ion (ag lc St yle )               Cindy Lenart, 'Rana Foods seeking site plan amendment', Bartlett Examiner (online), 11 May               2011 15 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/1373512A04212CB8›  Rana Foods seeking site plan amendment May 11, 2011 | Wayne Examiner (IL) Author: Cindy Lenart Section: News 580 Words Page: 15 OpenURL Link   On the heels of an official announcement that Rana Meal Solutions has selected Bartlett as the new U. S. subsidiary of Italy's Pastificio Rana, a leading pasta producer in Europe, Rana is seeking a site plan amendment to modify the vacant speculative building it is taking over in the Brewster Creek Business Park.It currently employs more than 1, 000 people and has seven European subsidiaries, in France, Spain, the United Kingdom, Germany, Belgium and Switzerland.Financial incentives from the state and village were key factors in attracting Rana to Bartlett.The Illinois Department of Commerce and Economic Opportunity is administering the state's $1.18 million business investment package, which includes tax credits based on job creation and job training funds that will help enhance the skills of the company's workforce.The incentive will come from the Brewster Creek Tax Incentive Financing (TIF) account, and is an eligible cost under that program.The company employs more than 1,000 people and has seven subsidiaries in France, Spain, the United Kingdom, Germany, Belgium and Switzerland.The package consists of Economic Development for a Growing Economy tax credits based on job creation and Employer Training Investment Program job training funds that will help enhance the skills of the company's workforce.The company employs over 1,000 people and has seven subsidiaries located in France, Spain, the United Kingdom, Germany, Belgium and Switzerland."
"Performance Additives","OH",""
"Pharmavite","AL","The Opelika City Council met last week to consider providing additional financial incentives to Pharmavite.Kennedy said the company is awaiting a decision by Congress whether the company can continue developing an engine for the fighter under a self-funding proposal.And while many residents spoke in favor of the sales tax hike because of the projects it would fund, several residents also alluded to voting out city leadership if the proposal was passed.Cit at ion (ag lc St yle )               Chris Anthony Opelika-Auburn News, 'Majority of Opelika council to seek re-election', Opelika-               Auburn News (online), 29 Oct 2011               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13AB5BFF73EEE818›  Council approves incentives for Pharmavite October 25, 2011 | Opelika-Auburn News (AL) Author: Chris Anthony Opelika-Auburn News Section: News 418 Words OpenURL Link   The Opelika City Council voted unanimously Tuesday morning to approve a project agreement and financial incentives for Pharmavite, a California-based manufacturer that announced plans in September to locate a new plant in Opelika.At a special meeting Tuesday morning, the council approved a project agreement that will see Opelika give Pharmavite $400,000 in cash incentives to construct its new plant.Pharmavite will also be eligible for up to $1.27 million in additional cash incentives over a 10-year period, depending on the plant’s full- time employment totals during that period.The council also approved two tax abatement agreements: one between Opelika and Pharmavite and another between Opelika, Pharmavite and SFG Pharma Development – I. SFG is expected to contribute about $15.8 million toward the project.In addition to the financial incentives, Opelika will also provide water and sewer lines to the project site at no cost to Pharmavite.Cit at ion (ag lc St yle )               Chris Anthony Opelika-Auburn News, 'Council approves incentives for Pharmavite', Opelika-               Auburn News (online), 25 Oct 2011               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13AA059C83CFFF78›  Opelika council to discuss incentives for new business October 23, 2011 | Opelika-Auburn News (AL) Author: OANow Staff Section: News 204 Words OpenURL Link   Opelika   The Opelika City Council will hold a special meeting Tuesday morning to consider providing financial incentives to a manufacturer that has announced plans to locate in the city.Tuesday’s meeting will include a public hearing on the proposed financial incentives for Pharmavite.The council will consider a resolution authorizing a project agreement between the city and Pharmavite and another resolution approving tax abatements for the company.In addition to the financial incentives, the city of Opelika will provide water and sewer lines to the project site at no cost to Pharmavite.Cit at ion (ag lc St yle )                OANow Staff, 'Opelika council to discuss incentives for new business', Opelika-Auburn News                (online), 23 Oct 2011 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?                p=WORLDNEWS&docref=news/13A96379610AB1C8›  Opelika considers Bowery Quarters ordinances October 18, 2011 | Opelika-Auburn News (AL) Author: Chris Anthony Opelika-Auburn News Section: News 880 Words OpenURL Link   The Opelika City Council on Tuesday evening introduced ordinances for consideration that would clear the way for a proposed development that has drawn the ire of residents in northern Opelika.In other business, council members:   » Approved a request from East Alabama Medical Center to temporarily alter traffic flow on the connector between East Thomason Circle and West Thomason Circle on Nov. 18 and Dec. 9;   » Approved a request from the Opelika Christmas Parade Committee to host the annual Christmas Parade at 4 p.m. Nov. 30;   » Awarded a $164,436 bid to Hometown Ford Chrysler Dodge Jeep for the purchase of six new 2012 marked police package Dodge Chargers;   » Awarded a $53,150 bid to Hometown Ford Chrysler Dodge Jeep for the purchase of two new 2012 unmarked police package Dodge Chargers;   » Awarded a $48,903 bid to Chris Clark Grading & Paving Inc. for asphalt and drain work in The Estates Subdivision;   » Designated several items of city property as surplus and authorized the items’ disposal;   » Approved a refund of occupation license fees in the amount of $1,841.39 to Rebecca Peek;   » Approved a $22,500 appropriation contract with The Museum of East Alabama for fiscal year 2012;   » Approved a $5,000 appropriation contract with the Jule Collins Smith Museum of Fine Art for FY 2012;   » Approved a $10,000 appropriation contract with the J.W. Darden Foundation for FY 2012;   » Approved a $70,000 appropriation contract with the Opelika Chamber of Commerce for FY 2012;   » Approved a $10,000 appropriation contract with the Lee County Chapter of the American Red Cross for  FY 2012;   » Approved a special use permit for Verizon Wireless at 201 Lee Road North;   » Approved a special use permit for Verizon Wireless at 1015 West Point Parkway;   » Approved a resolution reimbursing the Lee County Commission $159,000 for road paving performed on a four-mile stretch of Ridge Road, including a portion within the city limits of Opelika;   » Approved a $68,300 contract with Goodwyn, Mills and Cawood Inc. for engineering, surveying and geotechnical services to be rendered for the extension of Northpark Drive.The contract is worth $107,250;   » Approved a resolution that grants a license to Marsh Real Estate Investment LLC to attach an awning to the building at 811 South Railroad Avenue; and   » Approved an agreement with Millard Inc. for architectural services in the designing of the new Opelika Power Services facility.Cit at ion (ag lc St yle )               Chris Anthony Opelika-Auburn News, 'Opelika considers Bowery Quarters ordinances', Opelika-               Auburn News (online), 18 Oct 2011               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13A8623415A79FF8›  State funding requests highlight slow economy October 12, 2011 | Birmingham News (AL) Author: David White dwhite@bhamnews.comSection: BUSINESS 483 Words Volume: 124 Page: 1-D OpenURL Link   MONTGOMERY - The relatively small number of industrial-access projects that a public corporation approved for funding Tuesday shows that Alabama's economy is slow, state transportation director John Cooper said.The three-member Industrial Access Road and Bridge Corporation, which includes Cooper, on Tuesday approved five funding requests totaling $2.23 million, including $866,350 to extend an industrial park road in Opelika for a new Pharmavite plant that will make nutritional supplements.The five approvals represent a drop from the number of funding requests for roads, railroad crossing improvements or other industrial-access projects approved by the corporation before the depths of the recession.The corporation at its fall meetings approved 17 funding requests totaling $13 million in 2004, nine requests totaling $6.7 million in 2005, 21 requests totaling $12.6 million in 2006 and 20 requests totaling $11.5 million in 2007, according to a Birmingham News review of state records.''We would love to have more requests than we have funding,'' he added.Don Vaughn, the state transportation department's veteran chief engineer, also blamed a slack economy for the drop in approved funding requests for industrial-access projects.The three-member corporation, which also includes state treasurer Young Boozer and state finance director Marquita Davis, oversees a fund that gets $11 million in state fuel taxes each October.The fund also includes interest earnings and money carried over from earlier years.After Tuesday's approvals, the fund still had $21 million available for access projects for new or existing industries.The corporation usually meets three times a year to review funding requests and tends to see the greatest number at its fall meeting, just after the annual appropriation is released, said Don Arkle, an assistant chief engineer at the transportation department.At more-recent fall meetings, the corporation approved 11 funding requests totaling about $9.4 million in 2008, four requests totaling $4.1 million in 2009 and fewer than 10 requests totaling less than $6.5 million in 2010.'State funding requests highlight slow economy',               Birmingham News (online), 12 Oct 2011, 124 (213) 1-D               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13A5C2EB671F1B30›  Peach ice cream sweetened deal September 18, 2011 | Birmingham News (AL) Author: Michael Tomberlin Section: BUSINESS 809 Words Volume: 124 Page: 1-C OpenURL Link   Pharmavite chose the Northeast Opelika Industrial Park for its $74 million dietary supplement plant, but it may have been a visit to Clanton's Peach Park that helped Alabama lick South Carolina in the competition for the project.Pharmavite and its site consultants carefully considered all of the factors that go into making the prudent choice - supply chain costs, utility expenses, tax rates, labor and real estate availability.The mayor goes on to say that he will have his first fundraiser “in a few weeks.”It is a subsidiary of Otsuka Pharmaceutical Co. of Japan."
"Plasan Carbon Composites","MI","At a time when more focus and awareness has been placed on entrepreneurship and startups, Lange says public policymakers and business leaders must avoid focusing on one area of economic development at the expense of others.Working through the Lowe Foundation's Institute for Exceptional Growth Companies, which is funded by a three-year NASDAQ Educational Foundation grant, Walls seeks to better track job creation and economic growth.The Michigan Economic Growth Authority approved a five-year tax credit valued at $4.7 million for the Walker facility.The Bennington, Vt.-based company is a subsidiary of Israeli defense contractor Plasan Sasa.Cit at ion (ag lc St yle )               Gazette News Service, 'New carbon fiber composite facility could set trend - Company will add               202 jobs at new plant in Walker', Kalamazoo Gazette (online), 24 Jul 2011 F1               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138CB19CD2FE9838›  Plant could create 202 jobs - Carbon fiber composite Facility approved for $4.7M five-year tax credit July 20, 2011 | Grand Rapids Press, The (MI) Author: Ursula Zerilli / The Grand Rapids Press Section: Business 569 Words Page: A12 OpenURL Link   WALKER -- Besides adding 202 jobs to West Michigan, a new carbon fiber composite plant for automotive parts could mean a pioneering workforce in the state.The Michigan Economic Growth Authority (MEGA) approved a five-year tax credit valued at $4.7 million for the Walker facility.The Bennington, Vt.-based company is a subsidiary of Israeli defense contractor Plasan Sasa.Cit at ion (ag lc St yle )               Ursula Zerilli / The Grand Rapids Press, 'Plant could create 202 jobs - Carbon fiber composite               Facility approved for $4.7M five-year tax credit', Grand Rapids Press, The (online), 20 Jul 2011 A12               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138BBC5CF78476A0›  Plant would make new generation of car parts - Company plans Walker factory to manufacture carbon fiber body panels July 19, 2011 | Grand Rapids Press, The (MI) Author: Chris Knape / The Grand Rapids Press Section: Front Page 458 Words Page: A1 OpenURL Link   WALKER -- A company planning to mass produce carbon fiber body panels that could make cars lighter and more efficient may invest more than $18 million to open a factory in Walker and employ more than 200 people.The Michigan Economic Growth Authority was expected to approve a tax credit package today designed to help Plasan Carbon Composites move forward with leasing a vacant 197,000-square-foot factory at 3196 Wilson Drive NW.Plasan Carbon Composites, a Bennington, Vt., subsidiary of Israeli defense contractor Plasan Sasa, is developing a system to mass-produce carbon fiber composite body panels for the automotive industry.The MEGA tax incentive package expected to be approved today enhances a seven-year 100 percent abatement approved for the company's Wixom facility in December.Under the revised terms, the company would get five years of tax credits -- 200 percent for the first three years and 100 percent the remaining two -- for investing $18 million and creating up to 238 jobs, paying an average of $896 per week.The city of Walker is expected to approve additional tax abatements.Cit at ion (ag lc St yle )               Chris Knape / The Grand Rapids Press, 'Plant would make new generation of car parts -               Company plans Walker factory to manufacture carbon fiber body panels', Grand Rapids Press,               The (online), 19 Jul 2011 A1               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138B65B7AAF9ADB0›  Factory would employ 200-plus - tax credit package expected today for plasan carbon composites July 19, 2011 | Kalamazoo Gazette (MI) Author: gazette news service Section: Business 458 Words Page: A9 OpenURL Link   WALKER -- A company planning to mass produce carbon fiber body panels that could make cars lighter and more efficient may invest more than $18 million to open a factory near Grand Rapids and employ more than 200 people.The Michigan Economic Growth Authority was expected to approve a tax credit package today designed to help Plasan Carbon Composites move forward with leasing a vacant 197,000-square-foot factory at 3196 Wilson Drive NW.Plasan Carbon Composites, a Bennington, Vt., subsidiary of Israeli defense contractor Plasan Sasa, is developing a system to mass produce carbon fiber composite body panels for the automotive industry.The MEGA tax incentive package expected to be approved today enhances a seven-year 100 percent abatement approved for the company's Wixom facility in December.Under the revised terms, the company would get five years of tax credits -- 200 percent for the first three years and 100 percent the remaining two -- for investing $18 million and creating up to 238 new jobs paying an average of $896 per week.The city of Walker is expected to approve additional tax abatements.Cit at ion (ag lc St yle )               gazette news service, 'Factory would employ 200-plus tax credit package expected today for               plasan carbon composites', Kalamazoo Gazette (online), 19 Jul 2011 A9               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138B68F698CFCE80› "
"Plasan Carbon Composites","RI",""
"Plasan","MI","At a time when more focus and awareness has been placed on entrepreneurship and startups, Lange says public policymakers and business leaders must avoid focusing on one area of economic development at the expense of others.Working through the Lowe Foundation's Institute for Exceptional Growth Companies, which is funded by a three-year NASDAQ Educational Foundation grant, Walls seeks to better track job creation and economic growth.The Michigan Economic Growth Authority approved a five-year tax credit valued at $4.7 million for the Walker facility.The Bennington, Vt.-based company is a subsidiary of Israeli defense contractor Plasan Sasa.Cit at ion (ag lc St yle )               Gazette News Service, 'New carbon fiber composite facility could set trend - Company will add               202 jobs at new plant in Walker', Kalamazoo Gazette (online), 24 Jul 2011 F1               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138CB19CD2FE9838›  Plant could create 202 jobs - Carbon fiber composite Facility approved for $4.7M five-year tax credit July 20, 2011 | Grand Rapids Press, The (MI) Author: Ursula Zerilli / The Grand Rapids Press Section: Business 569 Words Page: A12 OpenURL Link   WALKER -- Besides adding 202 jobs to West Michigan, a new carbon fiber composite plant for automotive parts could mean a pioneering workforce in the state.The Michigan Economic Growth Authority (MEGA) approved a five-year tax credit valued at $4.7 million for the Walker facility.The Bennington, Vt.-based company is a subsidiary of Israeli defense contractor Plasan Sasa.Cit at ion (ag lc St yle )               Ursula Zerilli / The Grand Rapids Press, 'Plant could create 202 jobs - Carbon fiber composite               Facility approved for $4.7M five-year tax credit', Grand Rapids Press, The (online), 20 Jul 2011 A12               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138BBC5CF78476A0›  Plant would make new generation of car parts - Company plans Walker factory to manufacture carbon fiber body panels July 19, 2011 | Grand Rapids Press, The (MI) Author: Chris Knape / The Grand Rapids Press Section: Front Page 458 Words Page: A1 OpenURL Link   WALKER -- A company planning to mass produce carbon fiber body panels that could make cars lighter and more efficient may invest more than $18 million to open a factory in Walker and employ more than 200 people.The Michigan Economic Growth Authority was expected to approve a tax credit package today designed to help Plasan Carbon Composites move forward with leasing a vacant 197,000-square-foot factory at 3196 Wilson Drive NW.Plasan Carbon Composites, a Bennington, Vt., subsidiary of Israeli defense contractor Plasan Sasa, is developing a system to mass-produce carbon fiber composite body panels for the automotive industry.The MEGA tax incentive package expected to be approved today enhances a seven-year 100 percent abatement approved for the company's Wixom facility in December.Under the revised terms, the company would get five years of tax credits -- 200 percent for the first three years and 100 percent the remaining two -- for investing $18 million and creating up to 238 jobs, paying an average of $896 per week.The city of Walker is expected to approve additional tax abatements.Cit at ion (ag lc St yle )               Chris Knape / The Grand Rapids Press, 'Plant would make new generation of car parts -               Company plans Walker factory to manufacture carbon fiber body panels', Grand Rapids Press,               The (online), 19 Jul 2011 A1               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138B65B7AAF9ADB0›  Factory would employ 200-plus - tax credit package expected today for plasan carbon composites July 19, 2011 | Kalamazoo Gazette (MI) Author: gazette news service Section: Business 458 Words Page: A9 OpenURL Link   WALKER -- A company planning to mass produce carbon fiber body panels that could make cars lighter and more efficient may invest more than $18 million to open a factory near Grand Rapids and employ more than 200 people.The Michigan Economic Growth Authority was expected to approve a tax credit package today designed to help Plasan Carbon Composites move forward with leasing a vacant 197,000-square-foot factory at 3196 Wilson Drive NW.Plasan Carbon Composites, a Bennington, Vt., subsidiary of Israeli defense contractor Plasan Sasa, is developing a system to mass produce carbon fiber composite body panels for the automotive industry.The MEGA tax incentive package expected to be approved today enhances a seven-year 100 percent abatement approved for the company's Wixom facility in December.Under the revised terms, the company would get five years of tax credits -- 200 percent for the first three years and 100 percent the remaining two -- for investing $18 million and creating up to 238 new jobs paying an average of $896 per week.The city of Walker is expected to approve additional tax abatements.Cit at ion (ag lc St yle )               gazette news service, 'Factory would employ 200-plus tax credit package expected today for               plasan carbon composites', Kalamazoo Gazette (online), 19 Jul 2011 A9               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138B68F698CFCE80› "
"Plasan","RI",""
"Plastic Omnium","MI","Inergy, a subsidiary of Levallois, France-based Compagnie Plastic Omnium, is leasing the Milan plant until the new facility is ready."
"Plumrose","IA","The Board of Supervisors voted unanimously Monday to offer to match $22,000 of funds provided by the city of Council Bluffs in attempt to persuade Plumrose USA into building a new 100,000-square-foot plant in the Mid-American Commerce Park.The board has also agreed to match any future funding by the city on the project up to $100,000.Terry Bailey, director of business development for the Pottawattamie County Growth Alliance, had asked the county to contribute $100,000 to the project, which will receive a 60 percent tax abatement for 12 years, that is expected to generate about more than $3.2 million in benefits for the company during that time.In addition, state financial assistance could be more than $2.5 million.“But a $400,000 tax abatement (the county’s part of the abatement) is a pretty good incentive.Mundt was quick to point out that the funding will only be necessary if the business agrees to expand in Council Bluffs.Co pyrig ht ( c) 20 11 The Daily No npare il                   Cit at ion (ag lc St yle )               'Supervisors support plant’s expansion', Daily Nonpareil, The (online), 17 May 2011               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/1374F310527BDF60›  Plumrose seeks government money to build new facility May 10, 2011 | Daily Nonpareil, The (Council Bluffs, IA) Section: News 257 Words OpenURL Link   The Council Bluffs City Council gave its support to a local company to seek financial assistance for a new manufacturing facility that would create 100 new jobs.The company is seeking several financial assistance programs offered by the state.Also under the terms, the council agreed to a 60 percent tax abatement for 12 years."
"Polyplex","AL","Potential customers include defense contractors with grants from the U.S. Department of Defense and Homeland Security.Potential customers include defense contractors with grants from the U.S. Department of Defense and Homeland Security.Potential customers include defense contractors with grants from the U.S. Department of Defense and Homeland Security.Potential customers include defense contractors with grants from the U.S. Department of Defense and Homeland Security.Potential customers include defense contractors with grants from the U.S. Department of Defense and Homeland Security.The joint county/city in-kind incentive is worth about $200,000, he said.Polyplex received other incentives, including a noneducational, 10-year property tax abatement of about $547,000, and $350,000 worth of cash incentives over seven years if the company meets its employment milestones.The company is receiving unspecified incentives from the state.“We determined that we could take a portion of Tennessee Valley Authority in-lieu-of-tax funds and float a bond issue with costs to be shared by eight municipalities in the county and the County Commission.The city and county are doing the land preparation as an incentive for the company which will bring 150 jobs to the area.The governing body acted on other matters as follows:   Approved a gas mileage reimbursement of $55.5 cents per mile, effective July 26 in keeping with the Department of Revenue.Authorized the chairman to advertise for bids for janitorial supplies for all county departments, funded out  of the appropriate department funds.The regionalism approach to economic development took its first major step in the 1980s when the county and all its municipalities agreed to contribute their TVA in-lieu-of-tax funds toward the development of Mallard-Fox Creek Industrial Park on Alabama 20.Moreover, its decision to locate in Decatur was influenced by cash incentives that came from another agreement on TVA funds between the county and its municipalities."
"Precision","WV","The work, paid for by $26 million in state and federal funds, involves totally gutting the building and reinstalling core infrastructure including heating, air and ventilation.A $5.25 million grant from the Economic Development Administration, which was matched by the state of West Virginia, will go toward renovations of Building 770, a 130,000-square-foot building with laboratories and offices.The funds will pay for the replacement of the building's heating and cooling systems, as well as a new exterior and new windows.This calibrated approach has reassured key U.S. allies, such as Britain, that have large Muslim immigrant populations and were worried about the blowback from U.S. campaigns against al-Qaeda affiliates.Precision Converting Solutions, a subsidiary of Bangkok-based Siam Precision Components, is still choosing between three locations for its new site, a company official said."
